"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2013","4138","1","Regular Academic Session","CSCI","CSCI-C","211","11678","INTRO TO COMPUTER SCIENCE","Newton,Ryan Rhodes","51","110","2.322","2.819","17.3","7","6","6","2","3","3","3","3","1","3","2","0","12","24","35","0","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","CSCI","CSCI-C","211","1969","INTRO TO COMPUTER SCIENCE","Lara Dammer,Francisco","83","153","2.493","2.749","11.6","7","16","6","4","10","6","4","7","1","3","1","5","13","46","24","0","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","CSCI","CSCI-C","211","6421","INTRO TO COMPUTER SCIENCE","Lara Dammer,Francisco","66","115","2.545","2.941","16","5","11","7","2","11","5","3","7","1","0","1","2","11","34","15","0","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","CSCI","CSCI-H","211","1991","INTRO TO CMPTR SCIENCE-HONORS","Raphael,Christopher S.","20","24","3.67","3.633","40.9","3","11","3","1","1","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","1/24/2014",
"Summer 2013","4135","6W1","Six Week - First","CSCI","CSCI-C","211"," 8487","INTRO TO COMPUTER SCIENCE","German,Dan-Adrian","  28","  34","3.632","2.910"," 32.3","   2","  13","   6","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   1","   3","   2","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Spring 2013","4132","1","Regular Academic Session","CSCI","CSCI-C","211","33540","INTRO TO COMPUTER SCIENCE","Lara Dammer,Francisco","  63","  87","2.567","2.945"," 17.5","   8","   4","   9","   7","   7","   6","   1","   1","   5","   1","   6","   0","   8","  17","   7","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","CSCI","CSCI-C","211","33542","INTRO TO COMPUTER SCIENCE","Lara Dammer,Francisco","  59","  88","2.519","2.810"," 14.3","   9","   7","   7","   5","   5","   5","   1","   2","   2","   2","   0","   2","  12","  18","  11","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Fall 2012","4128","1","Regular Academic Session","CSCI","CSCI-C","211","16776","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","  74","  98","2.723","2.754","  9.2","   4","   6","   8","  13","   8","  10","   8","   4","   5","   0","   1","   3","   4","  12","  11","   1","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","CSCI","CSCI-C","211","21689","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","  68"," 107","3.188","3.024"," 15.9","   5","  14","  13","   9","   7","   7","   5","   3","   1","   3","   0","   0","   1","  20","  19","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","CSCI","CSCI-C","211","28092","INTRO TO COMPUTER SCIENCE","Sabry,Amr A.","  54","  88","2.376","2.736"," 19.0","   2","   6","   3","   4","   6","   6","   8","   5","   1","   3","   1","   4","   5","   9","  25","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","CSCI","CSCI-H","211","16798","INTRO TO CMPTR SCIENCE-HONORS","Raphael,Christopher S.","  14","  16","3.793","3.739"," 12.5","   6","   3","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Summer 2012","4125","6W1","Six Week - First","CSCI","CSCI-C","211"," 1637","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","  23","  26","2.987","2.899"," 20.0","   4","   1","   2","   4","   4","   3","   1","   2","   0","   0","   1","   1","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","08-31-2012",
"Spring 2012","4122","1","Regular Academic Session","CSCI","CSCI-C","211","15827","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","  66","  83","2.512","2.748","  7.6","   6","   7","   4","   7","   7","   3","  10","   6","   5","   1","   2","   0","   8","  13","   4","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","CSCI","CSCI-C","211","28015","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","  61","  83","2.672","2.831","  9.0","   6","   5","   8","   7","   7","   4","   8","   5","   1","   1","   1","   3","   5","  17","   5","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Fall 2011","4118","","","CSCI","CSCI-C","211"," 2078","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","  61","  83","2.849","2.782"," 10.3","   6","   7","   6","   9","   7","   6","   9","   3","   2","   2","   0","   0","   4","  16","   5","   1","   0","   0","   0","   0","   0","   0","   0","01-20-2012",
"Fall 2011","4118","","","CSCI","CSCI-C","211"," 7242","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","  62","  85","2.853","2.965","  9.1","   5","  10","   8","   5","   9","  11","   2","   2","   2","   0","   0","   3","   5","  14","   8","   1","   0","   0","   0","   0","   0","   0","   0","01-20-2012",
"Fall 2011","4118","","","CSCI","CSCI-C","211","29435","INTRO TO COMPUTER SCIENCE","Upoma,Adity Mutsuddi","  67","  80","2.970","2.781","  7.9","   2","  26","   5","   6","   5","   3","   4","   3","   2","   0","   7","   0","   4","   9","   4","   0","   0","   0","   0","   0","   0","   0","   0","01-20-2012",
"Fall 2011","4118","","","CSCI","CSCI-H","211"," 2100","INTRO TO CMPTR SCIENCE-HONORS","Byrd,William Edward","  21","  22","3.829","3.602","  9.1","   7","   9","   2","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","01-20-2012",
"First Summer Session 2011","4115SS1","","","CSCI","CSCI-C","211","5266","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","18","24","2.972","2.954","0.0","2","2","3","0","4","3","0","2","0","1","1","0","0","1","5","0","0","0","0","0","0","0","0","07-15-2011",
"Spring 2011","4112","","","CSCI","CSCI-C","211","32228","INTRO TO COMPUTER SCIENCE","Cottam,Joseph Abinadi","28","43","3.132","2.911","12.8","2","6","3","3","7","1","2","1","2","0","1","0","0","8","4","3","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","CSCI","CSCI-C","211","6959","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","73","100","3.092","3.099","9.9","8","16","6","14","8","5","4","5","0","3","0","1","3","16","9","2","0","0","0","0","0","0","0","06-10-2011",
"Fall 2010","4108","","","CSCI","CSCI-C","211","11894","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","67","87","2.637","2.888","7.6","2","4","12","13","7","5","7","3","2","1","2","3","6","11","8","1","0","0","0","0","0","0","0","01-21-2011",
"Fall 2010","4108","","","CSCI","CSCI-C","211","17409","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","71","85","2.928","2.995","12.2","4","14","8","8","10","4","8","5","2","4","0","3","1","11","3","0","0","0","0","0","0","0","0","01-21-2011",
"Fall 2010","4108","","","CSCI","CSCI-H","211","11916","INTRO TO CMPTR SCIENCE-HONORS","Byrd,William Edward","20","25","3.855","3.609","8.7","6","10","3","0","0","0","0","1","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","01-21-2011",
"First Summer Session 2010","4105SS1","","","CSCI","CSCI-C","211","6763","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","20","24","2.945","2.991","9.5","1","3","2","3","4","2","3","0","0","1","0","0","1","1","3","0","0","0","0","0","0","0","0","07-16-2010",
"Spring 2010","4102","","","CSCI","CSCI-C","211","6113","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","77","93","2.952","3.029","4.6","10","17","11","4","10","4","4","3","2","1","4","1","6","10","6","0","0","0","0","0","0","0","0","06-11-2010",
"Fall 2009","4098","","","CSCI","CSCI-C","211","2196","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","59","68","2.898","2.878","4.5","3","9","5","7","15","2","5","6","4","0","0","1","2","7","2","0","0","0","0","0","0","0","0","01-22-2010",
