"CategoryId"	"ParentCategoyrId"	"Position"
"new-arrivals"	""	"0"
"newarrivals-clothing"	"new-arrivals"	"0"
"newarrivals-dresses"	"new-arrivals"	"1"
"newarrivals-accessories"	"new-arrivals"	"2"
"newarrivals-shoes"	"new-arrivals"	"3"
"newarrivals-tops"	"new-arrivals"	"4"
"newarrivals-sweaters"	"new-arrivals"	"5"
"newarrivals-jacketscoats"	"new-arrivals"	"6"
"newarrivals-bottoms"	"new-arrivals"	"7"
"newarrivals-denim"	"new-arrivals"	"8"
"newarrivals-jumpsuitsrompers"	"new-arrivals"	"9"
"newarrivals-jewelry"	"new-arrivals"	"10"
"clothing"	""	"1"
"clothing-tops"	"clothing"	"0"
"top-topsunder29dollars"	"clothing-tops"	"0"
"tops-crops"	"clothing-tops"	"1"
"tops-knittops"	"clothing-tops"	"2"
"tops-tanksandcamis"	"clothing-tops"	"3"
"tops-bodysuits"	"clothing-tops"	"4"
"tops-tunics"	"clothing-tops"	"5"
"tops-blouses"	"clothing-tops"	"6"
"tops-peplum"	"clothing-tops"	"7"
"tops-datetops"	"clothing-tops"	"8"
"clothing-sweaters"	"clothing"	"1"
"sweaters-sweaters"	"clothing-sweaters"	"0"
"sweaters-sweaterdresses"	"clothing-sweaters"	"1"
"clothing-outerwear"	"clothing"	"2"
"outerwear-fauxleather"	"clothing-outerwear"	"0"
"outerwear-jacketsblazers"	"clothing-outerwear"	"1"
"outerwear-coats"	"clothing-outerwear"	"2"
"clothing-bottoms"	"clothing"	"3"
"bottoms-leggings"	"clothing-bottoms"	"0"
"bottoms-pants"	"clothing-bottoms"	"1"
"bottoms-pants-skinny"	"bottoms-pants"	"0"
"bottoms-pants-jogger"	"bottoms-pants"	"1"
"bottoms-pants-palazzo"	"bottoms-pants"	"2"
"bottoms-shorts"	"clothing-bottoms"	"2"
"bottoms-skirts"	"clothing-bottoms"	"3"
"bottoms-skirts-mini"	"bottoms-skirts"	"0"
"bottoms-skirts-midi"	"bottoms-skirts"	"1"
"bottoms-skirts-pencil"	"bottoms-skirts"	"2"
"bottoms-skirts-maxi"	"bottoms-skirts"	"3"
"bottoms-maxiskirts"	"clothing-bottoms"	"4"
"clothing-denim"	"clothing"	"4"
"denim-skinnyjeans"	"clothing-denim"	"0"
"denim-highwaistjeans"	"clothing-denim"	"1"
"denim-distressed"	"clothing-denim"	"2"
"denim-shorts"	"clothing-denim"	"3"
"denim-flarejeans"	"clothing-denim"	"4"
"clothing-dresses"	"clothing"	"5"
"clothing-jumpsuitsrompers"	"clothing"	"6"
"clothing-swim"	"clothing"	"7"
"dresses"	""	"2"
"dresses-59andunder"	"dresses"	"0"
"dresses-midimaxidresses"	"dresses"	"1"
"dresses-daydresses"	"dresses"	"2"
"dresses-partydress"	"dresses"	"3"
"dresses-bodycondresses"	"dresses"	"4"
"dresses-littleblackdress"	"dresses"	"5"
"dresses-littlewhitedress"	"dresses"	"6"
"dresses-sweaterdresses"	"dresses"	"7"
"dresses-peplum"	"dresses"	"8"
"dresses-dressesunder100"	"dresses"	"9"
"shoes"	""	"3"
"shoes-heels"	"shoes"	"0"
"accessories"	""	"4"
"accessories-jewelry"	"accessories"	"0"
"jewelry-necklaces"	"accessories-jewelry"	"0"
"jewelry-necklaces-statement"	"jewelry-necklaces"	"0"
"jewelry-necklaces-layered"	"jewelry-necklaces"	"1"
"jewelry-necklaces-pendants"	"jewelry-necklaces"	"2"
"jewelry-necklaces-chains"	"jewelry-necklaces"	"3"
"jewelry-earrings"	"accessories-jewelry"	"1"
"jewelry-earrings-chandelier"	"jewelry-earrings"	"0"
"jewelry-earrings-hoops"	"jewelry-earrings"	"1"
"jewelry-bracelets"	"accessories-jewelry"	"2"
"jewelry-bracelet-cuffs"	"jewelry-bracelets"	"0"
"jewelry-bracelet-bangles"	"jewelry-bracelets"	"1"
"jewelry-bracelet-hinge"	"jewelry-bracelets"	"2"
"jewelry-rings"	"accessories-jewelry"	"3"
