"CategoryId"	"Name"	"Description"
"new-arrivals"	"NEW ARRIVALS"	"New Arrivals"
"newarrivals-clothing"	"Clothing"	""
"newarrivals-dresses"	"Dresses"	""
"newarrivals-accessories"	"Accessories"	""
"newarrivals-shoes"	"Shoes"	""
"newarrivals-tops"	"Tops"	""
"newarrivals-sweaters"	"Sweaters"	""
"newarrivals-jacketscoats"	"Jackets & Coats"	""
"newarrivals-bottoms"	"Bottoms"	""
"newarrivals-denim"	"Denim"	""
"newarrivals-jumpsuitsrompers"	"Jumpsuits & Rompers"	""
"newarrivals-jewelry"	"Jewelry"	""
"clothing"	"CLOTHING"	""
"clothing-tops"	"Tops"	""
"top-topsunder29dollars"	"$29 and Under"	""
"tops-crops"	"Crop Tops"	""
"tops-knittops"	"Knit Tops"	""
"tops-tanksandcamis"	"Tanks & Camis"	""
"tops-bodysuits"	"Bodysuits"	""
"tops-tunics"	"Tunics"	""
"tops-blouses"	"Blouses"	""
"tops-peplum"	"Peplum"	""
"tops-datetops"	"Date Tops"	""
"clothing-sweaters"	"Sweaters"	""
"sweaters-sweaters"	"Sweaters"	""
"sweaters-sweaterdresses"	"Sweater Dresses"	""
"clothing-outerwear"	"Jackets"	""
"outerwear-fauxleather"	"Faux Leather"	""
"outerwear-jacketsblazers"	"Jackets and Blazers"	""
"outerwear-coats"	"Coats"	""
"clothing-bottoms"	"Bottoms"	""
"bottoms-leggings"	"Leggings"	""
"bottoms-pants"	"Pants"	""
"bottoms-pants-skinny"	"Skinny"	""
"bottoms-pants-jogger"	"Jogger"	""
"bottoms-pants-palazzo"	"Palazzo"	""
"bottoms-shorts"	"Shorts"	""
"bottoms-skirts"	"Skirts"	""
"bottoms-skirts-mini"	"Mini"	""
"bottoms-skirts-midi"	"Midi"	""
"bottoms-skirts-pencil"	"Pencil"	""
"bottoms-skirts-maxi"	"Maxi"	""
"bottoms-maxiskirts"	"Maxi Skirts"	""
"clothing-denim"	"Denim"	""
"denim-skinnyjeans"	"Skinny"	""
"denim-highwaistjeans"	"High Waist"	""
"denim-distressed"	"Distressed"	""
"denim-shorts"	"Shorts"	""
"denim-flarejeans"	"Flare Jeans"	""
"clothing-dresses"	"Dresses"	""
"clothing-jumpsuitsrompers"	"Jumpsuits & Rompers"	""
"clothing-swim"	"Swim"	""
"dresses"	"DRESSES"	"Dresses"
"dresses-59andunder"	"Dresses $59 and Under"	""
"dresses-midimaxidresses"	"Midi & Maxi"	""
"dresses-daydresses"	"Day"	""
"dresses-partydress"	"Party"	""
"dresses-bodycondresses"	"Bodycon"	""
"dresses-littleblackdress"	"Little Black Dress"	""
"dresses-littlewhitedress"	"Little White Dress"	""
"dresses-sweaterdresses"	"Sweater Dress"	""
"dresses-peplum"	"Peplum"	""
"dresses-dressesunder100"	"Dresses Under $100"	""
"shoes"	"SHOES"	""
"shoes-heels"	"Heels"	""
"accessories"	"ACCESSORIES"	""
"accessories-jewelry"	"Jewelry"	""
"jewelry-necklaces"	"Necklaces"	""
"jewelry-necklaces-statement"	"Statement Necklaces"	""
"jewelry-necklaces-layered"	"Layered"	""
"jewelry-necklaces-pendants"	"Pendants"	""
"jewelry-necklaces-chains"	"Chains"	""
"jewelry-earrings"	"Earrings"	""
"jewelry-earrings-chandelier"	"Chandelier"	""
"jewelry-earrings-hoops"	"Hoops"	""
"jewelry-bracelets"	"Bracelets"	""
"jewelry-bracelet-cuffs"	"Cuffs"	""
"jewelry-bracelet-bangles"	"Bangles"	""
"jewelry-bracelet-hinge"	"Hinge"	""
"jewelry-rings"	"Rings"	""
"jewelry-watches"	"Watches"	""
"jewelry-bodyjewelry"	"Body Jewelry"	""
"jewelry-earcuffs"	"Ear Cuffs"	""
"Anklets"	"Anklets"	""
"accessories-bags"	"Bags"	""
"bags-crossbody"	"Crossbody"	""
"bags-clutch"	"Clutch"	""
"accessories-hats"	"Hats"	""
"accessories-belts"	"Belts"	""
"accessories-scarves"	"Scarves"	""
"accessories-lingerie"	"Shapewear"	""
"accessories-sunglasses"	"Sunglasses"	""
"accessories-hairaccessories"	"Hair Accessories"	""
"accessories-shoes"	"Shoes"	""
"accessories-miscellaneous"	"Miscellaneous"	""
"sale"	"SALE"	"All sale products"
"sale-promo"	"Promo"	"All promotional product (non clearance)"
"promo-linen-pant"	"$39 Linen Pant"	""
"promo-dresses"	"40% Off Dresses"	""
"promo-bottoms-new"	"40% Off Bottoms"	""
"promo-bottoms"	"30% Off Bottoms"	""
"promo-tops"	"$19 Tops"	""
"promo-24tops"	"$24 Tops"	""
"promo-29tops"	"$29 Tops"	""
"promo-29bottoms"	"$29 Bottoms"	""
"promo-39denim"	"$39 Denim"	""
"promo-dresses-30off"	"30% Off Dresses"	""
"promo-tops-new"	"40% Off Tops"	""
"promo-jogger-harem-pants"	"$39 Jogger & Harem Pants"	""
"promo-leggings-50off"	"50% Off Leggings"	""
"promo-legging-new"	"40% off Leggings"	""
"promo-denim"	"$49 Jeans"	""
"promo-shoes"	"60% off Shoes"	""
"promo-sweaters"	"40% off Tops & Sweaters"	""
"promo-dresses-new"	"65% off Dresses"	""
"promo-leggings"	"$29 Leggings"	""
"promo-jackets"	"40% off Jackets"	""
"promo-accessories"	"50% Off Accessories"	""
"promo-skirts"	"$39 Skirts"	""
"clearance"	"Sale"	"All clearance products"
"CLR-G200"	"Arden B. Tops"	"Arden B. Tops"
"CLR-G201"	"Arden B. Bottoms"	"Arden B. Bottoms"
"CLR-G203"	"Arden B. Dresses"	"Arden B. Dresses"
"CLR-G204"	"Arden B. Outerwear"	"Arden B. Outerwear"
"CLR-G205"	"Arden B. Access."	"Arden B. Access."
"CLR-G202"	"Arden B. Rel Separat"	"Arden B. Rel Separat"
"CLR-G206"	"Arden B. Total Misc."	"Arden B. Total Misc."
"features"	"FEATURES"	"Trending Now, Currently Coveting, Buyer's Pick,"
"currently-coveting"	"Currently Coveting"	"OVERALL TREND PAGES / LOOK BOOKS"
"currently-coveting-bright-neon-colors-metallic"	"Neo-Glow"	""
"currently-coveting-geometric-stripes-print"	"Stay Between The Lines"	""
"currently-coveting-tropical-prints-bright-colors"	"Not Your Typical Garden Party"	""
"currently-coveting-animal-prints"	"Animal Instinct"	""
"currently-coveting-dresses-bachelorette"	"The Wedding Lineup: Bachelorette"	""
"currently-coveting-dresses-bridal-shower"	"The Wedding Lineup: Bridal Shower"	""
"currently-coveting-dresses-wedding"	"The Wedding Lineup: Wedding"	""
"currently-coveting-white-apparel"	"Lose The Color"	""
"currently-coveting-jumpsuits-rompers-day"	"One-Piece Stunner: Day"	""
"currently-coveting-jumpsuits-rompers-night"	"One-Piece Stunner: Night"	""
"currently-coveting-shorts-3-ways"	"Shorts 3 Ways"	""
"currently-coveting-bright-colors-tropical-prints"	"Flashing Brights"	""
"currently-coveting-back-details"	"Baby Got Back"	""
"currently-coveting-bright-neon-club"	"Pop It Like It's Hot"	""
"currently-coveting-bodysuits-day"	"Bodysuits: Day"	""
"currently-coveting-bodysuits-night"	"Bodysuits: Night"	""
"currently-coveting-style-steals"	"Style Steals"	""
"currently-coveting-deep-v-necklines"	"Take The Plunge"	""
"currently-coveting-how-to-wear-maxi-skirts"	"Maxi Skirts Four Ways"	""
"currently-coveting-bright-colors-geometric-prints"	"Sun Kissed"	""
"currently-coveting-spring-essentials"	"Editor's Top 5"	""
"currently-coveting-chic-bohem"	"La Vie Bohème"	""
"currently-coveting-exclusive-prints"	"Exclusive Prints"	""
"currently-coveting-petite"	"Petite: X-Small"	""
"currently-coveting-crop-tops-3-ways"	"Crop Tops Three Ways"	""
"currently-coveting-crop-tops-3-ways-edgy"	"Crop Tops: Edgy"	""
"currently-coveting-crop-tops-3-ways-sexy"	"Crop Tops: Sexy"	""
"currently-coveting-crop-tops-3-ways-beachy"	"Crop Tops: Beachy"	""
"currently-coveting-pencil-skirts"	"Pencil Skirts"	""
"currently-coveting-green-apparel"	"Get Lucky"	""
"currently-coveting-packing-essentials"	"The Packing Essentials"	""
"currently-coveting-passport-to-paradise"	"Passport to Paradise"	""
"currently-coveting-untamed-heart"	"Untamed Heart"	""
"currently-coveting-back-in-stock"	"BACK IN STOCK"	""
"currently-coveting-boyfriend-jeans"	"The Boyfriend Jean"	"The Boyfriend Jeans landing page"
"currently-coveting-boyfriend-jean-edgy"	"The Boyfriend Jean: Edgy"	""
"currently-coveting-boyfriend-jean-casual"	"The Boyfriend Jean: Casual"	""
"currently-coveting-boyfriend-jean-glam"	"The Boyfriend Jean: Glam"	""
"currently-coveting-skinny-jean"	"The Skinny Jean"	""
"currently-coveting-blue"	"Out Of The Blue"	""
"currently-coveting-black-and-white"	"Opposites Attract"	""
"currently-coveting-pink"	"Made You Blush"	""
"currently-coveting-la-dolce-vita"	"The 2014 Resort Collection"	""
"currently-coveting-colorful-prints-office"	"2014 In Print: Office Chic"	""
"currently-coveting-colorful-prints-casual"	"2014 In Print: Day Off"	""
"currently-coveting-colorful-prints-night-out"	"2014 In Print: Date Night"	""
"currently-coveting-shop-all-prints"	"2014 In Print: Shop All Prints"	""
"currently-coveting-modern-graphic"	"Modern Graphic"	""
"currently-coveting-studio-54"	"Studio 54"	""
"currently-coveting-hollywood-glam"	"Hollywood Glam"	""
"currently-coveting-winter-luxe"	"Winter Luxe"	""
"currently-coveting-intercontinental-kitten"	"Intercontinental Kitten"	""
"currently-coveting-all-dressed-up"	"All Dressed Up"	""
"currently-coveting-english-glamour"	"English Glamour"	""
"currently-coveting-fashion-frontier"	"Fashion Frontier"	""
"currently-coveting-rock"	"Rock"	""
"club-by-ardenb"	"Club by Arden B."	"Club dresses, outfits and accessories"
"buyers-pick"	"Buyer's Pick"	"Every two weeks, buyer's pick feature"
"trending-now"	"Trending Now"	"Trend Items, updated every two weeks."
"trending-now-animal-print"	"Call Of The Wild"	""
"trending-now-leopard"	"Leopard"	""
"all-dressed-up"	"All Dressed Up"	"All Dressed Up - LookBook"
"hidden categories"	"SPECIAL FEATURES"	""
"special-features-peplum"	"Poised In Peplum"	""
"special-features-valentines-romantic"	"The Romantic"	""
"special-features-valentines-vixen"	"The Vixen"	""
"special-features-valentines-shop-all"	"Shop By Attitude"	""
"special-features-holiday-gifts"	"Holiday Gift Boutique"	"2013 Arden B Gift page"
"special-features-day-midi-skirts"	"Midi Skirts For Day"	""
"special-features-night-midi-skirts"	"Midi Skirts For Night"	""
