"CategoryId"	"ParentCategoyrId"	"Position"
"new arrivals"	""	"0"
"new-arrivals-clothing"	"new arrivals"	"0"
"new-arrivals-shoes"	"new arrivals"	"1"
"new-arrivals-accessories"	"new arrivals"	"2"
"new-arrivals-plus"	"new arrivals"	"3"
"new-arrivals-online-exclusives"	"new arrivals"	"4"
"new-arrivals-halloween"	"new arrivals"	"5"
"tops"	""	"1"
"tops-bandeaus"	"tops"	"0"
"tops-croptops"	"tops"	"1"
"tops-knittops"	"tops"	"2"
"tops-tubesandtanks"	"tops"	"3"
"tops-shirtsandblouses"	"tops"	"4"
"tops-basictees"	"tops"	"5"
"tops-5for20basics"	"tops"	"6"
"tops-graphictees"	"tops"	"7"
"tops-peplum"	"tops"	"8"
"tops-sweatshirts"	"tops"	"9"
"tops-sweaters"	"tops"	"10"
"tops-sweaters-pullover"	"tops-sweaters"	"0"
"tops-sweaters-wraps"	"tops-sweaters"	"1"
"top-sweaters-cardigans"	"tops-sweaters"	"2"
"tops-active"	"tops"	"11"
"tops-jackets"	"tops"	"12"
"tops-jackets-jackets"	"tops-jackets"	"0"
"tops-jackets-blazers"	"tops-jackets"	"1"
"tops-jackets-fauxleather"	"tops-jackets"	"2"
"tops-jackets-denim"	"tops-jackets"	"3"
"tops-jackets-vests"	"tops-jackets"	"4"
"tops-rocktees"	"tops"	"13"
"bottoms"	""	"2"
"bottoms-pants"	"bottoms"	"0"
"bottoms-pants-jogger"	"bottoms-pants"	"0"
"bottoms-pants-skinny"	"bottoms-pants"	"1"
"bottoms-pants-wideleg"	"bottoms-pants"	"2"
"bottoms-leggings"	"bottoms"	"1"
"bottoms-leggings-prints"	"bottoms-leggings"	"0"
"bottoms-leggings-solids"	"bottoms-leggings"	"1"
"bottoms-skirts"	"bottoms"	"2"
"bottoms-skirts-mini"	"bottoms-skirts"	"0"
"bottoms-skirts-skater"	"bottoms-skirts"	"1"
"bottoms-skirts-maxi"	"bottoms-skirts"	"2"
"bottoms-shorts"	"bottoms"	"3"
"bottoms-shorts-denim"	"bottoms-shorts"	"0"
"bottoms-shorts-highrise"	"bottoms-shorts"	"1"
"bottoms-shorts-softshorts"	"bottoms-shorts"	"2"
"bottoms-shorts-shortalls"	"bottoms-shorts"	"3"
"bottoms-overalls"	"bottoms"	"4"
"bottoms-jeans"	"bottoms"	"5"
"bottoms-jeans-blueasphalt"	"bottoms-jeans"	"0"
"jeans-blueasphalt-fashionista"	"bottoms-jeans-blueasphalt"	"0"
"jeans-blueasphalt-uptown"	"bottoms-jeans-blueasphalt"	"1"
"jeans-blueasphalt-memphis"	"bottoms-jeans-blueasphalt"	"2"
"jeans-blueasphalt-secondskin"	"bottoms-jeans-blueasphalt"	"3"
"bottoms-jeans-destroyed"	"bottoms-jeans"	"1"
"bottoms-jeans-skinny"	"bottoms-jeans"	"2"
"bottoms-jeans-jeggings"	"bottoms-jeans"	"3"
"bottoms-jeans-bootcut"	"bottoms-jeans"	"4"
"bottoms-jeans-overalls"	"bottoms-jeans"	"5"
"bottoms-active"	"bottoms"	"6"
"dresses"	""	"3"
"dresses-casual"	"dresses"	"0"
"dresses-party"	"dresses"	"1"
"dresses-bodycon"	"dresses"	"2"
"dresses-midisandmaxis"	"dresses"	"3"
"dresses-skater"	"dresses"	"4"
"dresses-slip-dresses"	"dresses"	"5"
"dresses-rompersjumpsuits"	"dresses"	"6"
"dresses-blackdresses"	"dresses"	"7"
"dresses-little-white-dresses"	"dresses"	"8"
"dresses-homecoming"	"dresses"	"9"
"dresses-highlow"	"dresses"	"10"
"dresses-whitedresses"	"dresses"	"11"
"dresses-babydolls"	"dresses"	"12"
"5for20basics"	""	"4"
"5for20-croptops"	"5for20basics"	"0"
"5for20-camis"	"5for20basics"	"1"
"5for20-tanks"	"5for20basics"	"2"
"5for20-tees"	"5for20basics"	"3"
"5for20-shorts"	"5for20basics"	"4"
"5for20-leggings"	"5for20basics"	"5"
"shoes"	""	"5"
