"CategoryId"	"Name"	"Description"
"new arrivals"	"NEW ARRIVALS"	"ALL NEW MERCH WITHIN 2 WEEKS OF ACTIVATION DATE"
"new-arrivals-clothing"	"CLOTHING"	"All apparel items"
"new-arrivals-shoes"	"SHOES"	""
"new-arrivals-accessories"	"ACCESSORIES"	""
"new-arrivals-plus"	"PLUS SIZE"	""
"new-arrivals-online-exclusives"	"ONLINE EXCLUSIVES"	""
"new-arrivals-halloween"	"HALLOWEEN"	""
"tops"	"TOPS"	""
"tops-bandeaus"	"Bandeaus"	""
"tops-croptops"	"Crop Tops"	""
"tops-knittops"	"Knit Tops"	""
"tops-tubesandtanks"	"Tubes & Tanks"	""
"tops-shirtsandblouses"	"Shirts & Blouses"	""
"tops-basictees"	"Basic Tees"	""
"tops-5for20basics"	"5 for $20"	""
"tops-graphictees"	"Graphic Tees"	""
"tops-peplum"	"Peplum"	""
"tops-sweatshirts"	"Sweatshirts"	""
"tops-sweaters"	"Sweaters"	""
"tops-sweaters-pullover"	"Pullover"	""
"tops-sweaters-wraps"	"Wraps"	""
"top-sweaters-cardigans"	"Cardigans"	""
"tops-active"	"Active Tops"	""
"tops-jackets"	"Jackets"	""
"tops-jackets-jackets"	"Jackets"	""
"tops-jackets-blazers"	"Blazers"	""
"tops-jackets-fauxleather"	"Faux Leather"	""
"tops-jackets-denim"	"Denim"	""
"tops-jackets-vests"	"Vests"	""
"tops-rocktees"	"Rock Tees"	""
"bottoms"	"BOTTOMS"	""
"bottoms-pants"	"Pants"	""
"bottoms-pants-jogger"	"Jogger"	""
"bottoms-pants-skinny"	"Skinny"	""
"bottoms-pants-wideleg"	"Wide Leg"	""
"bottoms-leggings"	"Leggings"	""
"bottoms-leggings-prints"	"Prints & Patterns"	""
"bottoms-leggings-solids"	"Solids"	""
"bottoms-skirts"	"Skirts"	""
"bottoms-skirts-mini"	"Mini"	""
"bottoms-skirts-skater"	"Skater"	""
"bottoms-skirts-maxi"	"Maxi"	""
"bottoms-shorts"	"Shorts"	""
"bottoms-shorts-denim"	"Denim"	""
"bottoms-shorts-highrise"	"High Rise"	""
"bottoms-shorts-softshorts"	"Soft Shorts"	""
"bottoms-shorts-shortalls"	"Shortalls"	""
"bottoms-overalls"	"Overalls"	""
"bottoms-jeans"	"Jeans"	""
"bottoms-jeans-blueasphalt"	"Blue Asphalt"	""
"jeans-blueasphalt-fashionista"	"Fashionista"	""
"jeans-blueasphalt-uptown"	"Uptown"	""
"jeans-blueasphalt-memphis"	"Memphis"	""
"jeans-blueasphalt-secondskin"	"Second Skin"	""
"bottoms-jeans-destroyed"	"Destroyed Jeans"	""
"bottoms-jeans-skinny"	"Skinny Jeans"	""
"bottoms-jeans-jeggings"	"Jeggings"	""
"bottoms-jeans-bootcut"	"Boot Cut Jeans"	""
"bottoms-jeans-overalls"	"Overalls"	""
"bottoms-active"	"Active Bottoms"	""
"dresses"	"DRESSES"	""
"dresses-casual"	"Casual"	""
"dresses-party"	"Party"	""
"dresses-bodycon"	"Bodycon"	""
"dresses-midisandmaxis"	"Maxis"	""
"dresses-skater"	"Skaters"	""
"dresses-slip-dresses"	"Slip Dresses"	""
"dresses-rompersjumpsuits"	"Rompers & Jumpsuits"	""
"dresses-blackdresses"	"Little Black Dresses"	""
"dresses-little-white-dresses"	"Little White Dresses"	""
"dresses-homecoming"	"Homecoming"	""
"dresses-highlow"	"High-Low"	""
"dresses-whitedresses"	"White Dresses"	""
"dresses-babydolls"	"Babydolls"	""
"5for20basics"	"5 FOR $20"	""
"5for20-croptops"	"Crop Tops"	""
"5for20-camis"	"Camis"	""
"5for20-tanks"	"Tanks"	""
"5for20-tees"	"Tees"	""
"5for20-shorts"	"Shorts"	""
"5for20-leggings"	"Leggings"	""
"shoes"	"SHOES"	""
"shoes-sandals"	"Sandals"	""
"shoes-sandals-summer-must-have"	"Summer's Must-Have Sandals"	""
"shoes-sneakers"	"Sneakers"	""
"shoes-flats"	"Flats"	""
"shoes-wedges"	"Wedges"	""
"shoes-heels"	"Heels"	""
"shoes-boots"	"Boots"	""
"shoes-wide-width-shoes"	"Wide Width Shoes"	""
"accessories"	"ACCESSORIES"	""
"accessories-jewelry"	"Jewelry"	""
"jewelry-necklaces"	"Necklaces"	""
"jewelry-earrings"	"Earrings"	""
"jewelry-bracelets"	"Bracelets"	""
"jewelry-rings"	"Rings"	""
"jewelry-watches"	"Watches"	""
"jewelry-anklets"	"Anklets"	""
"jewelry-hand-jewelry"	"Body Jewelry"	""
"accessories-swim"	"Swim"	""
"accessories-intimates"	"Intimates"	""
"accessories-intimates-swimwear"	"Swimwear"	""
"accessories-intimates-bras"	"Bras"	""
"accessories-intimates-thongs"	"Thongs"	""
"accessories-intimates-boyshorts"	"Boyshorts"	""
"accessories-intimates-sleepwear"	"Sleepwear"	""
"accessories-bagsandwallets"	"Bags & Wallets"	""
"bagsandwallets-wallets"	"Wallets"	""
"bagsandwallets-backpacks"	"Backpacks"	""
"bagsandwallets-shoulderbags"	"Shoulder Bag"	""
"bagsandwallets-totes"	"Totes"	""
"bagsandwallets-crossbody"	"Crossbody"	""
"accessories-sunglasses"	"Sunglasses & Eyewear"	""
"accessories-scarves"	"Scarves"	""
"accessories-coldweather"	"Cold Weather"	""
"accessories-belts"	"Belts"	""
"accessories-hats"	"Hats"	""
"accessories-hair"	"Hair"	""
"accessories-hosiery"	"Hosiery"	""
"hosiery-socks"	"Socks"	""
"hosiery-tights"	"Tights"	""
"hosiery-legwarmers"	"Legwarmers"	""
"accessories-techaccessories"	"Tech Accessories"	""
"accessories-beauty"	"Beauty"	""
"beauty-lipbalm"	"Lip Balm"	""
"beauty-makeup"	"Make-Up"	""
"beauty-manisets"	"Mani Sets"	""
"beauty-giftsets"	"Gift Sets"	""
"accessories-gifts"	"Gifts"	""
"plus"	"PLUS"	""
"plus-newarrivals"	"New Arrivals"	""
"newarrivals-tops"	"Tops"	""
"newarrivals-bottoms"	"Bottoms"	""
"newarrivals-jeans"	"Jeans"	""
"newarrivals-dresses"	"Dresses"	""
"newarrivals-jackets"	"Jackets"	""
"plus-tops"	"Tops"	""
"plustops-tanks"	"Tanks"	""
"plustops-graphictees"	"Graphic Tees"	""
"plustops-knittops"	"Knit Tops"	""
"plustops-shirtsandblouses"	"Shirts & Blouses"	""
"plustops-sweaters"	"Sweaters"	""
"plustops-sweatshirts"	"Sweatshirts"	""
"plustops-wraps"	"Wraps"	""
"plus-bottoms"	"Bottoms"	""
"plusbottoms-leggings"	"Leggings"	""
"plusbottoms-skirts"	"Skirts"	""
"plusbottoms-pants"	"Pants"	""
"plusbottoms-shorts"	"Shorts"	""
"plus-jeans"	"Jeans"	""
"plusjeans-skinny"	"Skinny"	""
"plusjeans-boot"	"Boot Cut"	""
"plusjeans-flare"	"Flare"	""
"plusjeans-boyfriend"	"Boyfriend"	""
"plus-dresses"	"Dresses"	""
"plusdresses-day"	"Day"	""
"plusdresses-night"	"Night"	""
"plusdresses-highlow"	"High-Low"	""
"plusdresses-bodycon"	"Bodycon"	""
"plusdresses-skater"	"Skaters"	""
"plusdresses-maxi"	"Maxis"	""
"plusdresses-rompersandjumpsuits"	"Rompers & Jumpsuits"	""
"plus-jackets"	"Jackets"	""
"plusjackets-denim"	"Denim"	""
"plusjackets-fauxleather"	"Faux Leather"	""
"plusjackets-vests"	"Vests"	""
"plusjackets-other"	"Other"	""
"plus-swim"	"Swim"	""
"plus-intimates"	"Intimates"	""
"plusintimates-sleepwear"	"Sleepwear"	""
"plusintimates-panties"	"Panties"	""
"plus-3for20-basics"	"3 for $20"	""
"plus-accessories"	"Accessories & Shoes"	""
"plusaccessories-shoesandboots"	"Wide Width Shoes"	""
"plusaccessories-belts"	"Belts"	""
"plus-sale"	"New Sale"	""
"newsale-50off"	"50% off Sale"	""
"plus-clearance"	"Clearance"	""
"plusclearance-tops"	"Tops"	""
"plusclearance-bottoms"	"Bottoms"	""
"plusclearance-dresses"	"Dresses"	""
"plusclearance-accessories"	"Accessories"	""
"plus-trends"	"Trends"	""
"plus-trends-dress-collection"	"Oh, You Fancy!"	""
"plus-trends-boho-summer"	"Sun Seekers"	""
"plus-trends-boho-global-prints"	"Style Abroad"	""
"plus-trends-crochet"	"Knitty-Gritty"	""
"plus-trends-boho-nuetrals"	"Desert Sand"	""
"plus-trends-western-boho"	"New Frontier"	""
"plus-trends-festival"	"Wild Flower Child"	""
"plus-trends-cotton-candy"	"Cotton Candy"	""
"plus-trends-urban-boho"	"Urban Bohemian"	""
"plus-trends-girls-love-flowers"	"Sweet Talker"	""
"plus-trends-boho-spirit"	"Boho Spirit"	""
"plus-trends-skater-girl"	"Skater Girl"	""
"plus-stores-page"	"Store List"	"A list of all Wet Seal plus stores"
"sale"	"SALE"	"All sale products"
"sale-promo"	"Sale"	"Promotional styles"
"sale-jeans"	"$10 Jeans"	""
"sale-skirts"	"$10 Skirts"	""
"sale-soft-pants"	"$12 Soft Pants"	""
"sale-2-for-20-maxis"	"2 for $20 Maxi Dresses & Skirts"	""
"sale-5for20"	"5 for $20 Basics"	""
"sale-bogo-bras"	"BOGO 50% Bras"	"Buy 1, Get 1 50% Off"
"sale-panties"	"5 for $15 Panties"	""
"sale-15-styles"	"$15 Jeans"	""
"sale-40percent"	"40% Off Tops, Shorts & More"	""
"sale-2-for-12-Tops"	"2 for $12 Tops"	""
"sale-skirts-and-shorts"	"2 for $20 Skirts & Shorts"	""
"sale-overalls"	"$15 Overalls"	""
"sale-bogo-swim-sandals-shoes-belts-scarves"	"Bogo $5"	""
"sale-last-chance"	"Last Chance Sale"	""
"sale-10"	"$10 Sale"	""
"sale-15"	"$15 Sale"	""
"sale-5"	"$5 Sale"	""
"sale-2-for-12-sunglasses"	"2 for $10 Sunglasses"	""
"sale-bogo-penny-tops"	"BOGO Penny Tops"	""
"sale-jewelry"	"BOGO 50% Jewelry & Hair"	""
"sale-2-for-15-tops"	"2 for $15 Tops"	""
"sale-bogo-gifts"	"50% Off Gifts, Cold Weather & Socks"	""
"sale-30-percent-sleepwear"	"30% off Sleepwear"	""
"sale-30percent"	"30% off Dresses"	""
"sale-5-for-15"	"5 for $15 Basics"	""
"sale-2-for-15-tees"	"2 for $15 Long Sleeve Tees"	""
"sale-8"	"$8 Sale"	""
"sale-12"	"$12 Sale"	""
"sale-new-15"	"$15 Sale"	""
"sale-50-percent-tops"	"50% off Tops"	""
"sale-50-percent-bottoms"	"50% off Bottoms"	""
"sale-50-percent-dresses"	"50% off Dresses"	""
"sale-50-percent-jackets"	"50% off Jackets"	""
"sale-50percent"	"50% Off Active"	""
"sale-sleepwear"	"50% Off Sleepwear"	""
"sale-19.50"	"$19.50 Blazers"	""
"sale-outlet-steals"	"Outlet Steals"	""
"clearance"	"Clearance"	"All clearance products"
"CLR-G11"	"WS Tops"	"WS Tops"
"CLR-G12"	"WS Bottoms"	"WS Bottoms"
"CLR-G13"	"WS RTW"	"WS RTW"
"CLR-G13-D29"	"Plus"	"WS Plus"
"CLR-G14"	"WS Accessories"	"WS Accessories"
"CLR-G15"	"WS Miscellaneous"	"WS Miscellaneous"
"last-chance-3dollars"	"Last Chance $3 & Under"	""
"CLR-G16"	"WS Junior Plus"	"WS Junior Plus"
"hot-spot"	"#Trending"	""
"hotspot-trends"	"Trends"	""
"trends-sports-soccer-teams"	"Soccer Style"	""
"trends-back-details"	"On The Flip Side"	""
"trends-party-dresses"	"Oh, You Fancy!"	""
"trends-boho-summer"	"Sun Seekers"	""
"trends-sun-seeker-lookbook"	"Sun Seeker Lookbook"	""
"trends-sports-teams-apparel"	"Baseball Fanatic"	""
"trends-crop-tops-smocked-soft-shorts"	"The Perfect Pair"	""
"trends-boho-global-prints"	"Style Abroad"	""
"global-lookbook"	"Style Abroad Lookbook"	""
"trends-personality-graphic-tees"	"How Do You Take Your Tee?"	""
"trends-personality-graphic-tees-boho"	"Boho Sport"	""
"trends-personality-graphic-tees-grunge"	"Grungy Sweetheart"	""
"trends-personality-graphic-tees-hipster"	"Hipster Princess"	""
"trends-personality-graphic-tees-edgy"	"Rapping Rebel"	""
"trends-favorite-cartoons"	"Favorite Cartoons"	""
"trends-superhero-style"	"Superhero Style"	""
"trends-how-to-wear-slip-dresses"	"Slip Into Layers"	""
"trends-how-to-wear-crop-tops"	"Rock The Crop"	""
"trends-sunflowers-daisies-print"	"Good Day, Sunshine!"	""
"trends-crochet"	"Knitty-Gritty"	""
"trends-bright-colors-tropical-prints"	"One-Way Ticket To Paradise"	""
"haute-tropics-lookbook"	"Haute Tropics Lookbook"	""
"trends-boho-neutral"	"Desert Sand"	""
"desert-sand-lookbook"	"Desert Sand Lookbook"	""
"trends-western-boho"	"New Frontier"	""
"trends-shop-by-personality"	"Shop By Personality"	""
"trends-shop-by-personality-edgy"	"Hip Hop Honey"	""
"trends-shop-by-personality-girly"	"Flirty Femme"	""
"trends-shop-by-personality-sporty"	"Good Sport"	""
"trends-shop-by-personality-glam"	"Glamorista"	""
"trends-shop-by-personality-grunge"	"Girly Grunge"	""
"trends-shop-by-personality-boho"	"Free Spirit"	""
"trends-online-exclusive"	"Online Exclusive"	""
"trends-sports-basketball"	"Favorite Sportswear"	""
"trends-slip-dresses"	"Slip Dresses"	""
"trends-white-dresses"	"White Dresses"	""
"trends-festival-essentials"	"Festival Must-Haves"	""
"trends-sets"	"Game. Set. Match."	""
"trends-spring-break"	"Spring Break"	""
"trend-spring-top-five"	"Spring Top 5 Hit List"	""
"trends-festival-swim"	"Wild Flower Child"	""
"trends-crop-tops-and-soft-pants"	"Crop Tops & Soft Pants"	""
"trends-viva-la-fiesta"	"Viva La Fiesta"	""
"viva-la-fiesta-lookbook"	"Lookbook"	""
"trends-cotton-candy"	"Cotton Candy"	""
"cotton-candy-lookbook"	"Cotton Candy Lookbook"	""
"trends-urban-boho"	"Urban Bohemian"	""
"urban-boho-lookbook"	"Lookbook"	""
"trends-spring-hit-list"	"Spring Hit List"	""
"trends-valentines-dresses"	"Valentine's Day Dress Boutique"	""
"vday-lookbook"	"Lookbook"	""
"trends-sweet-talker"	"Sweet Talker"	""
"sweet-talker-lookbook"	"Lookbook"	""
"trends-warm-weather"	"Sunny Side Up"	""
"trends-boho-spirit"	"Boho Spirit"	""
"trends-skater-girl"	"Skater Girl"	""
"trends-pretty-in-punk"	"Pretty In Punk"	""
"trends-vintagegrunge"	"Vintage Grunge"	""
"trends-shinyhappypeople"	"Shiny Happy People"	""
"trends-fallfestival"	"Fall Festival"	""
"trends-graphicimpact"	"Graphic Impact"	""
"trends-halloween"	"Halloween"	""
"trends-bright-colors-floral-prints"	"Garden State of Mind"	""
"hot-spot-contests"	"CONTESTS"	"Home for all of the contests"
"crush-by-abc-family"	"CRUSH BY ABC FAMILY"	""
"crush-by-abc-family-shop"	"Shop Crush"	""
"hot-spot-socialmedia"	"SOCIALIZE"	"a place for social media feeds"
"hot-spot-asseenin"	"AS SEEN IN"	""
"hot-spot-gift-guide"	"Gift Guide"	""
"gift-guide-under-5"	"Gifts Under $5"	""
"gift-guide-under-10"	"Gifts Under $10"	""
"gift-guide-under-20"	"Gifts Under $20"	""
"gifts-guide-under-30"	"Gifts Under $30"	""
"hot-spot-rampage"	"Rampage"	""
"hidden categories"	"Special Features"	""
"special-features-steals-bottoms"	"Saturday Steals | Shorts"	""
"special-features-steals-sunglasses-scarves-jewelry-hair"	"$5 Memorial Weekend Steals"	""
"special-features-steals-shortalls-dresses"	"$15 Shortalls, Dresses, & Rompers"	""
"special-features-steals-shorts-slip-dresses"	"$10 Shorts & $12 Slip Dresses"	""
"special-features-animal-print-crop-tops"	"Animal Print Crop Tops"	""
"special-features-soft-smocked-shorts"	"Soft Smocked Shorts"	""
"special-features-floral-gypsy-maxi-dress"	"Floral & Gypsy Maxi Dresses"	""
"special-features-foldover-maxi-skirt"	"Foldover Maxi Skirt"	""
"special-features-slip-maxi-dress"	"Slip Maxi Dress"	""
"special-features-striped-maxi-dress"	"Striped Maxi Dress"	""
"special-features-swim-ruffle"	"Swim: Ruffles"	""
"special-features-swim-fringe"	"Swim: Fringe"	""
"special-features-floral-skater-skirts"	"Floral Skater Skirts"	""
"special-features-print-crop-tops"	"Print Crop Tops"	""
"special-features-backless-tank-tops"	"Backless Tank Tops"	""
"special-features-5-5-sale"	"$5 Sale"	""
"special-features-5-5-sale-sandals"	"$5 Sandals"	""
"special-features-5-5-sale-jewelry"	"$5 Jewelry"	""
"special-features-5-5-sale-scarves"	"$5 Scarves"	""
"special-features-5-5-sale-sunglasses"	"$5 Sunglasses"	""
"special-features-steals-tops"	"Saturday Steals | $12 Tops"	""
"special-features-steals-online-only"	"Online Only Steals"	""
"special-features-plusbottoms"	"Weekend Steals Plus Maxi Skirts"	""
"special-features-weekend-deals-jeans-sweaters"	"Weekend Deals | Jeans & Sweaters"	""
"special-features-steals-plustops"	"Saturday Steals | $15 Plus Tops"	""
"special-features-steals-jeans"	"$10 Jeans"	""
"special-features-spring-break-daily-deal"	"Spring Break Daily Deal"	""
"special-features-crochet"	"Crochet"	""
"special-features-steals-maxi-dresses-and-skirts"	"$8 Maxi Skirts & Dresses"	""
"special-feature-jelly-sandals"	"Jellies"	""
"special-features-steals-jeans-boots"	"Weekend Steals: Jeans & Boots"	""
"special-features-steals-plus-jeans"	"Weekend Steals: Plus Jeans"	""
"special-features-steals-top-and-jeans"	"$10 Jeans & $12 Top"	""
"special-features-steals-plus-tops"	"$15 Plus Tops"	""
"special-features-19.50-jackets-boots-blue-asphalt"	"$19.50 Jackets, Boots, Blue Asphalt Jeans"	""
"special-features-cold-weather-clothing"	"Cold Snap Alert!"	""
"special-features-plus-cold-weather-clothing"	"Plus Cold Snap Alert!"	""
"special-features-steals-sweaters"	"Sweater Saturday Steals"	""
"special-features-steals-shop-all"	"Online Only Steal"	""
"clothing"	"CLOTHING"	""
"clothing-tops"	"Tops"	""
"clothing-5for20basics"	"5 for $20"	""
"5for20-camisandtanks"	"Camis & Tanks"	""
"clothing-5for20-tees"	"Tees"	""
"clothing-5for20-shorts"	"Shorts"	""
"clothing-5for20-leggings"	"Leggings"	""
"clothing-sweaters"	"Sweaters"	""
"sweaters-cardigans"	"Cardigans"	""
"sweaters-wraps"	"Wraps"	""
"sweaters-pullover"	"Pullover"	""
"clothing-dresses"	"Dresses"	""
"clothing-jeans"	"Jeans"	""
"jeans-blue-asphalt"	"Blue Asphalt"	""
"blue-asphalt-fashionista"	"FASHIONISTA"	""
"blue-asphalt-second-skin"	"SECOND SKIN"	""
"blue-asphalt-uptown"	"UPTOWN"	""
"blue-asphalt-memphis"	"MEMPHIS"	""
"clothing-bottoms"	"Bottoms"	""
"clothing-bottoms-pants"	"Pants"	""
"bottoms-midiandmaxiskirts"	"Midi & Maxi Skirts"	""
"clothing-bottoms-skirts"	"Skirts"	""
"clothing-bottoms-leggings"	"Leggings"	""
"clothing-bottoms-shorts"	"Shorts"	""
"clothing-bottoms-overalls"	"Overalls"	""
"clothing-leggings"	"Leggings"	""
"clothing-jackets"	"Jackets"	""
"jackets-blazers"	"Blazers"	""
"jackets-fauxleather"	"Faux Leather"	""
"jackets-denim"	"Denim"	""
"jackets-vests"	"Vests"	""
"jackets-fleece"	"Fleece"	""
"jackets-baseball"	"Baseball"	""
"jackets-anorak"	"Anorak"	""
"jackets-other"	"Other"	""
"clothing-active"	"Active"	""
"active-bottoms"	"Bottoms"	""
"active-tops"	"Tops"	""
"active-rampage"	"Rampage"	""
"active-lookbook"	"Active Lookbok"	""
"clothing-intimates"	"Intimates"	""
"intimates-bras"	"Bras"	""
"intimates-thongs"	"Thongs"	""
"intimates-boyshorts"	"Boyshorts"	""
"intimates-sleepwear"	"Sleepwear"	""
"intimates-swimwear"	"Swimwear"	""
"jeans"	"JEANS"	""
"jeans-blueasphalt"	"Blue Asphalt"	""
"blueasphalt-fashionista"	"Fashionista"	""
"blueasphalt-uptown"	"Uptown"	""
"blueasphalt-memphis"	"Memphis"	""
"blueasphalt-secondskin"	"Second Skin"	""
"Denim Guide"	"Denim Guide"	"Landing page with Denim Guide Information"
"jeans-destroyed"	"Destroyed"	""
"jeans-skinny"	"Skinny"	""
"jeans-jeggings"	"Jeggings"	""
"jeans-boot"	"Boot Cut"	""
"jeans-overalls"	"Overalls"	""
"AmazonTest"	"AmazonTest"	"Placeholder Category to test the export of products to Amazon"
"all-help-topics"	"All Help Topics"	"All Help Topics"
"hidden-categories-trends"	"Trends"	""
"trends-spring-tops"	"Spring Tops"	""
"trends-valentines"	"Valentine's Day"	""
"trends-plus-valentines"	"Plus Valentine's Day"	""
"trends-plaid"	"Plaid"	""
