"CategoryId"	"Name"	"Description"
"new-arrivals"	"NEW ARRIVALS"	"New Arrivals"
"newarrivals-clothing"	"Clothing"	""
"newarrivals-dresses"	"Dresses"	""
"newarrivals-accessories"	"Accessories"	""
"newarrivals-shoes"	"Shoes"	""
"newarrivals-tops"	"Tops"	""
"newarrivals-sweaters"	"Sweaters"	""
"newarrivals-jacketscoats"	"Jackets & Coats"	""
"newarrivals-bottoms"	"Bottoms"	""
"newarrivals-denim"	"Denim"	""
"newarrivals-jumpsuitsrompers"	"Jumpsuits & Rompers"	""
"newarrivals-jewelry"	"Jewelry"	""
"clothing"	"CLOTHING"	""
"clothing-tops"	"Tops"	""
"top-topsunder29dollars"	"$29 and Under"	""
"tops-knittops"	"Knit Tops"	""
"tops-tanksandcamis"	"Tanks & Camis"	""
"tops-crops"	"Crops"	""
"tops-bodysuits"	"Bodysuits"	""
"tops-tunics"	"Tunics"	""
"tops-blouses"	"Blouses"	""
"tops-datetops"	"Date Tops"	""
"clothing-sweaters"	"Sweaters"	""
"sweaters-sweaters"	"Sweaters"	""
"sweaters-sweaterdresses"	"Sweater Dresses"	""
"clothing-outerwear"	"Jackets & Coats"	""
"outerwear-fauxleather"	"Faux Leather"	""
"outerwear-jacketsblazers"	"Jackets and Blazers"	""
"outerwear-coats"	"Coats"	""
"clothing-bottoms"	"Bottoms"	""
"bottoms-leggings"	"Leggings"	""
"bottoms-pants"	"Pants"	""
"bottoms-shorts"	"Shorts"	""
"bottoms-skirts"	"Skirts"	""
"bottoms-maxiskirts"	"Maxi Skirts"	""
"clothing-denim"	"Denim"	""
"denim-skinnyjeans"	"Skinny Jeans"	""
"denim-highwaistjeans"	"High Waist Jeans"	""
"denim-flarejeans"	"Flare Jeans"	""
"denim-shorts"	"Shorts"	""
"clothing-dresses"	"Dresses"	""
"clothing-jumpsuitsrompers"	"Jumpsuits & Rompers"	""
"clothing-swim"	"Swim"	""
"dresses"	"DRESSES"	"Dresses"
"dresses-dressesunder100"	"Dresses Under $100"	""
"dresses-midimaxidresses"	"Midi & Maxi"	""
"dresses-daydresses"	"Day"	""
"dresses-partydress"	"Party"	""
"dresses-bodycondresses"	"Bodycon"	""
"dresses-littleblackdress"	"Little Black Dress"	""
"dresses-sweaterdresses"	"Sweater Dress"	""
"shoes"	"SHOES"	""
"shoes-heels"	"Heels"	""
"accessories"	"ACCESSORIES"	""
"accessories-hats"	"Hats"	""
"accessories-bags"	"Bags"	""
"accessories-belts"	"Belts"	""
"accessories-scarves"	"Scarves"	""
"accessories-lingerie"	"Lingerie"	""
"accessories-hairaccessories"	"Hair Accessories"	""
"accessories-jewelry"	"Jewelry"	""
"jewelry-necklaces"	"Necklaces"	""
"jewelry-earrings"	"Earrings"	""
"jewelry-bracelets"	"Bracelets"	""
"jewelry-rings"	"Rings"	""
"jewelry-watches"	"Watches"	""
"jewelry-bodyjewelry"	"Body Jewelry"	""
"accessories-shoes"	"Shoes"	""
"accessories-miscellaneous"	"Miscellaneous"	""
"accessories-sunglasses"	"Sunglasses"	""
"sale"	"SALE"	"All sale products"
"sale-promo"	"Promo"	"All promotional product (non clearance)"
"promo-denim"	"$19 Jeans"	""
"promo-leggings"	"$29 Leggings"	""
"promo-dresses"	"40% Off Dresses"	""
"promo-jackets"	"40% off Jackets"	""
"promo-sweaters"	"40% off Sweaters"	""
"promo-bottoms"	"40% Off Bottoms"	""
"promo-accessories"	"50% Off Accessories"	""
"promo-tops"	"30% Off All Tops"	""
"clearance"	"Sale"	"All clearance products"
"CLR-G200"	"Arden B. Tops"	"Arden B. Tops"
"CLR-G201"	"Arden B. Bottoms"	"Arden B. Bottoms"
"CLR-G203"	"Arden B. Dresses"	"Arden B. Dresses"
"CLR-G204"	"Arden B. Outerwear"	"Arden B. Outerwear"
"CLR-G205"	"Arden B. Access."	"Arden B. Access."
"CLR-G202"	"Arden B. Rel Separat"	"Arden B. Rel Separat"
"CLR-G206"	"Arden B. Total Misc."	"Arden B. Total Misc."
"features"	"FEATURES"	"Trending Now, Currently Coveting, Buyer's Pick,"
"currently-coveting"	"Currently Coveting"	"OVERALL TREND PAGES / LOOK BOOKS"
"currently-coveting-hollywood-glam"	"Hollywood Glam"	""
"currently-coveting-winter-luxe"	"Winter Luxe"	""
"currently-coveting-intercontinental-kitten"	"Intercontinental Kitten"	""
"currently-coveting-all-dressed-up"	"All Dressed Up"	""
"currently-coveting-english-glamour"	"English Glamour"	""
"currently-coveting-fashion-frontier"	"Fashion Frontier"	""
"currently-coveting-rock"	"Rock"	""
"currently-coveting-studio-54"	"Studio 54"	""
"club-by-ardenb"	"Club by Arden B."	"Club dresses, outfits and accessories"
"buyers-pick"	"Buyer's Pick"	"Every two weeks, buyer's pick feature"
"trending-now"	"Trending Now"	"Trend Items, updated every two weeks."
"trending-now-leopard"	"Leopard"	""
"all-dressed-up"	"All Dressed Up"	"All Dressed Up - LookBook"
"hidden categories"	"SPECIAL FEATURES"	""
"special-features-holiday-gifts"	"Holiday Gift Boutique"	"2013 Arden B Gift page"
"special-features-day-midi-skirts"	"Midi Skirts For Day"	""
"special-features-night-midi-skirts"	"Midi Skirts For Night"	""
"special-features-mixed-metal"	"Mixed Metal"	""
"special-features-lace"	"Lace"	""
"special-features-colorful-night-out"	"Take The Night"	""
"special-features-jewel-tone"	"Jewel Tone Dresses"	""
"special-features-dresses-shine"	"All in the Details"	""
"special-features-embellishments"	"Embellishments"	""
"special-features-gifts-for-me"	"Gifts For Me"	""
"special-features-girls-night-out"	"Girls' Night Out"	""
"special-features-midi-skirts-for-a-day"	"Midi Skirts For Day"	""
